completion_order,run_name,completed_at_estimated,best_downbeat_f1,running_best_downbeat_f1
1,beat_transcription,2026-03-12 16:43:41 UTC,0.3141,0.3141
2,exp_beat_plus_downbeat_logits,2026-03-13 01:30:16 UTC,0.3371,0.3371
3,exp_meter_classification,2026-03-13 02:52:15 UTC,0.2561,0.3371
4,exp_meter_classification_w0_1,2026-03-13 04:05:38 UTC,0.3508,0.3508
5,exp_meter_classification_w0_3,2026-03-13 05:19:21 UTC,0.3249,0.3508
6,exp_meter_classification_w0_0_5,2026-03-13 06:28:31 UTC,0.3903,0.3903
7,exp_meter_numerator_w0_05,2026-03-13 07:51:48 UTC,0.3398,0.3903
8,exp_meter_context_lowres_w0_05,2026-03-13 09:11:30 UTC,0.3382,0.3903
9,exp_meter_downbeat_conditioning_w0_05,2026-03-13 11:46:17 UTC,0.3248,0.3903
10,exp_meter_classification_w0_0_5_beatpw10,2026-03-13 13:54:50 UTC,0.3599,0.3903
11,exp_meter_classification_w0_0_5_beatpw7_5,2026-03-13 15:04:31 UTC,0.3493,0.3903
12,exp_meter_classification_w0_0_5_specaug_f0_02_t0_00,2026-03-13 16:51:27 UTC,0.3504,0.3903
13,exp_meter_classification_w0_0_5_specaug_f0_05_t0_00,2026-03-13 17:55:49 UTC,0.3146,0.3903
14,exp_meter_classification_w0_0_5_specaug_f0_00_t0_05,2026-03-13 19:00:25 UTC,0.3743,0.3903
15,exp_meter_classification_w0_0_5_specaug_f0_00_t0_10,2026-03-13 20:04:53 UTC,0.3581,0.3903
16,exp_meter_classification_w0_0_5_specaug_f0_02_t0_05,2026-03-13 21:09:27 UTC,0.3705,0.3903
17,exp_meter_classification_w0_0_5_specaug_f0_05_t0_10,2026-03-13 22:13:57 UTC,0.3604,0.3903
18,exp_time_stretch_pm50,2026-03-14 02:53:04 UTC,0.3476,0.3903
19,exp_chord_preinit_backbone,2026-03-14 04:28:02 UTC,0.4471,0.4471
20,exp_chord_preinit_stemdrop2,2026-03-14 06:27:47 UTC,0.4519,0.4519
21,exp_chord_preinit_stemdrop2_phase,2026-03-14 07:54:13 UTC,0.4409,0.4519
22,exp_chord_preinit_stemdrop2_metertau0_5,2026-03-14 09:15:33 UTC,0.4401,0.4519
23,exp_chord_preinit_stemdrop2_drumaux,2026-03-14 10:44:21 UTC,0.4598,0.4598
24,exp_chord_preinit_stemdrop2_drumaux_bassaux,2026-03-14 12:07:52 UTC,0.4442,0.4598
25,exp_chord_preinit_stemdrop2_drumaux_basslowflux,2026-03-14 13:26:46 UTC,0.4536,0.4598
26,exp_chord_preinit_stemdrop2_drumaux_bassharmonic,2026-03-14 14:46:30 UTC,0.4406,0.4598
27,exp_chord_preinit_stemdrop2_drumaux_pianoaux,2026-03-14 16:06:07 UTC,0.4440,0.4598
28,exp_chord_preinit_stemdrop2_drumaux_highfreq,2026-03-15 03:28:47 UTC,0.4642,0.4642
29,exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm,2026-03-15 05:34:47 UTC,0.4705,0.4705
30,exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm_bar,2026-03-15 07:42:39 UTC,0.4594,0.4705
31,exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm_timestretch_pm10,2026-03-15 10:06:35 UTC,0.3784,0.4705
32,exp_meter_from_rhythm_head,2026-03-15 14:50:16 UTC,0.4464,0.4705
33,exp_meter_from_rhythm_bilstm_w0_05,2026-03-16 14:10:41 UTC,0.4431,0.4705
34,exp_meter_from_rhythm_bilstm_w0_05_balanced,2026-03-16 15:33:40 UTC,0.4338,0.4705
35,exp_meter_from_rhythm_bilstm_w0_05_downbeatw1_5,2026-03-16 17:00:22 UTC,0.4502,0.4705
36,exp_meter_from_rhythm_hardpred_w0_01,2026-03-17 02:45:02 UTC,0.4463,0.4705
37,from_ssl_pretrain,2026-03-18 01:44:50 UTC,0.3605,0.4705
38,from_ssl_plp_with_chord_boundary,2026-03-19 02:41:09 UTC,0.4894,0.4894
39,from_ssl_drum_constrastive_pretrain,2026-03-20 13:06:27 UTC,0.4975,0.4975
40,from_ssl_no_drum_constrastive_pretrain,2026-03-21 03:27:34 UTC,0.5093,0.5093
41,from_ssl_pretrain_harmony_onset,2026-03-21 09:52:48 UTC,0.4690,0.5093
