run_name,status,best_epoch,best_downbeat_f1,best_beat_f1,best_val_loss,last_epoch,last_downbeat_f1,configured_epochs,seed,lr,batch_size,train_samples_per_epoch,segment_seconds,meter_loss_weight,drum_aux_loss_weight,drum_aux_use_high_frequency_flux,stem_dropout_max_count,init_scope,init_from,init_state_source,audio_backend,scheduler,ema_decay,num_layers,hidden_size,output_dim,resume,git_branch,git_commit,git_dirty,completed_at,run_path
from_ssl_no_drum_constrastive_pretrain,complete,19,0.5093,0.6492,1.1811,30,0.4765,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,outputs/ssl_no_drum_contrastive_pretrain/checkpoint_last.pt,model_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/ssl-pretrain-plp,204bb442596ce68b93d0362d3e7ebe68c3b868b3,true,2026-03-21 03:27:34 UTC,outputs/from_ssl_no_drum_constrastive_pretrain
from_ssl_drum_constrastive_pretrain,complete,21,0.4975,0.6550,1.1521,30,0.4738,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,outputs/ssl_drum_contrastive_pretrain/checkpoint_last.pt,model_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/ssl-pretrain-plp,0be03f234c6205941833dbd9a9d3539966336255,true,2026-03-20 13:06:27 UTC,outputs/from_ssl_drum_constrastive_pretrain
from_ssl_plp_with_chord_boundary,complete,23,0.4894,0.6068,1.2796,30,0.4752,30,42,0.000300,8,1024,30.0,0.050,0.100,false,4,backbone,outputs/ssl_plp_pretrain/plp_with_chord_boundary/checkpoint_last.pt,model_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/ssl-pretrain-plp,72986ef6a6e5e958f978d2c3bf7c8aa66587d9f5,true,2026-03-19 02:41:09 UTC,outputs/from_ssl_plp_with_chord_boundary
exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm,complete,23,0.4705,0.6554,1.2617,30,0.4444,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/repeat-ssm-downbeat-consistency,2dc24e5d708fbff50b002dddfb08a16eb5dc2ee4,true,2026-03-15 05:34:47 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm
from_ssl_pretrain_harmony_onset,complete,14,0.4690,0.6023,1.1296,30,0.4120,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,outputs/ssl_pretrain_harmony_onset/checkpoint_last.pt,model_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/ssl-pretrain-plp,d44d541a72be93ff7067da95655447ca3059f901,true,2026-03-21 09:52:48 UTC,outputs/from_ssl_pretrain_harmony_onset
exp_chord_preinit_stemdrop2_drumaux_highfreq,complete,25,0.4642,0.6441,1.3692,30,0.4510,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/drum-highfreq-flux-aux,e61c0b4e430a6f79535e8c907c0e5b0783051b4c,true,2026-03-15 03:28:47 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_highfreq
exp_chord_preinit_stemdrop2_drumaux,complete,23,0.4598,0.6548,1.2471,30,0.4472,30,42,0.000300,8,1024,30.0,0.050,0.100,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/drum-aux-flux-onset,f9c10e4c96d429b7ff085d05e21029188377c398,true,2026-03-14 10:44:21 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux
exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm_bar,complete,21,0.4594,0.6514,1.2455,30,0.4370,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/repeat-ssm-downbeat-consistency,43c5ebc0956f6303f2f07fab809fdc97af1efa14,true,2026-03-15 07:42:39 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm_bar
exp_chord_preinit_stemdrop2_drumaux_basslowflux,complete,17,0.4536,0.6364,1.2103,30,0.4387,30,42,0.000300,8,1024,30.0,0.050,0.100,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/bass-aux-lowflux-harmonic-change,adde35d3c2c9fce19fbff1d630b4ddd48e6b5b59,true,2026-03-14 13:26:46 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_basslowflux
exp_chord_preinit_stemdrop2,complete,18,0.4519,0.6497,1.1892,30,0.4275,30,42,0.000300,8,1024,30.0,0.050,,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/stem-dropout-energy-ranking,f9c10e4c96d429b7ff085d05e21029188377c398,true,2026-03-14 06:27:47 UTC,outputs/exp_chord_preinit_stemdrop2
